Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20250327 14:15:00,86443.40000000,86647.86000000,86371.84000000,86627.35000000,,,,,,
20250327 14:30:00,86627.36000000,87202.48000000,86529.34000000,87055.72000000,,,,,,
20250327 14:45:00,87055.71000000,87321.56000000,86882.20000000,87297.33000000,,,,,,
20250327 15:00:00,87297.34000000,87418.80000000,87124.13000000,87386.66000000,,,,,,
20250327 15:15:00,87386.66000000,87575.00000000,87272.06000000,87278.30000000,87129.07200000,,,,,
20250327 15:30:00,87278.31000000,87278.31000000,86845.99000000,86865.97000000,87176.79600000,,,,,
20250327 15:45:00,86865.97000000,87087.57000000,86752.58000000,86974.07000000,87160.46600000,,,,,
20250327 16:00:00,86974.07000000,87212.00000000,86900.08000000,87082.27000000,87117.45400000,,,,,
20250327 16:15:00,87082.27000000,87271.43000000,87012.39000000,87012.39000000,87042.60000000,,,,,
20250327 16:30:00,87012.38000000,87148.00000000,86978.26000000,87141.30000000,87015.20000000,87072.13600000,,,,
20250327 16:45:00,87141.31000000,87162.00000000,86805.20000000,86835.24000000,87009.05400000,87092.92500000,,,,
20250327 17:00:00,86835.24000000,87032.00000000,86835.24000000,86961.76000000,87006.59200000,87083.52900000,,,,
20250327 17:15:00,86961.77000000,87074.19000000,86866.99000000,86867.00000000,86963.53800000,87040.49600000,,,,
20250327 17:30:00,86867.00000000,86978.10000000,86796.00000000,86978.09000000,86956.67800000,86999.63900000,,57.51525592238318,,
20250327 17:45:00,86978.10000000,87150.95000000,86913.04000000,86913.05000000,86911.02800000,86963.11400000,,55.955656727369735,,
20250327 18:00:00,86913.04000000,87136.01000000,86876.00000000,87132.31000000,86970.44200000,86989.74800000,,51.749069400991054,,
20250327 18:15:00,87132.31000000,87150.00000000,86962.26000000,87047.90000000,86987.67000000,86997.13100000,,43.863205806372015,,
20250327 18:30:00,87047.91000000,87374.00000000,87028.00000000,87343.39000000,87082.94800000,87023.24300000,,49.03346571897007,,
20250327 18:45:00,87343.39000000,87420.00000000,87206.52000000,87206.52000000,87128.63400000,87042.65600000,,48.41679459354545,,
20250327 19:00:00,87206.52000000,87357.14000000,87141.31000000,87350.00000000,87216.02400000,87063.52600000,87067.83100000,62.11243850315565,,
20250327 19:15:00,87350.01000000,87429.21000000,87262.25000000,87364.00000000,87262.36200000,87116.40200000,87104.66350000,60.239919746634634,,
20250327 19:30:00,87364.01000000,87398.49000000,87280.00000000,87306.96000000,87314.17400000,87150.92200000,87117.22550000,56.06349274885191,,
20250327 19:45:00,87306.96000000,87312.95000000,87022.99000000,87060.41000000,87257.57800000,87170.26300000,87105.37950000,51.18306167097002,,
20250327 20:00:00,87060.40000000,87087.85000000,86948.00000000,86957.74000000,87207.82200000,87168.22800000,87083.93350000,45.41842215610708,,
20250327 20:15:00,86957.75000000,87282.24000000,86943.04000000,87205.84000000,87178.99000000,87197.50700000,87080.31050000,59.525620990294456,,
20250327 20:30:00,87205.85000000,87315.98000000,87182.01000000,87315.43000000,87169.27600000,87215.81900000,87102.78350000,59.170275105660416,97.27303148506326,101.8116030405526
20250327 20:45:00,87315.44000000,87346.07000000,87252.22000000,87307.57000000,87169.39800000,87241.78600000,87119.45850000,61.96258383339266,101.3790619790816,101.72509482825839
20250327 21:00:00,87307.57000000,87354.99000000,87239.13000000,87299.99000000,87217.31400000,87237.44600000,87130.34450000,59.260964129947425,102.83604812705016,101.94728548801675
20250327 21:15:00,87300.00000000,87464.10000000,87284.25000000,87387.25000000,87303.21600000,87255.51900000,87149.08750000,63.47036633033383,109.7665523953765,103.51113886948869
20250327 21:30:00,87387.25000000,87728.27000000,87371.91000000,87633.34000000,87388.71600000,87283.85300000,87173.68950000,64.01882495145495,133.57664488600858,109.52424007279267
20250327 21:45:00,87633.33000000,87638.38000000,87478.00000000,87568.68000000,87439.36600000,87304.32100000,87210.36150000,64.73427491455632,145.5509721092967,116.72958648009347
20250327 22:00:00,87568.67000000,87600.00000000,87411.01000000,87416.76000000,87461.20400000,87315.30100000,87233.11150000,52.25938768345776,141.15489261633775,121.61464770734233
20250327 22:15:00,87416.76000000,87490.68000000,87362.64000000,87383.93000000,87477.99200000,87347.65300000,87258.95800000,55.83727617906969,133.48315064758935,123.98834829539173
20250327 22:30:00,87383.94000000,87425.68000000,87326.52000000,87348.73000000,87470.28800000,87386.75200000,87277.49000000,49.95500761682063,123.14337388407148,123.81935341312769
