Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20170814 00:00:00,4261.48000000,4485.39000000,3850.00000000,4086.29000000,,,,,,
20170821 00:00:00,4069.13000000,4453.91000000,3400.00000000,4310.01000000,,,,,,
20170828 00:00:00,4310.01000000,4939.19000000,4124.54000000,4509.08000000,,,,,,
20170904 00:00:00,4505.00000000,4788.59000000,3603.00000000,4130.37000000,,,,,,
20170911 00:00:00,4153.62000000,4394.59000000,2817.00000000,3699.99000000,4147.14800000,,,,,
20170918 00:00:00,3690.00000000,4123.20000000,3505.55000000,3660.02000000,4061.89400000,,,,,
20170925 00:00:00,3660.02000000,4406.52000000,3653.69000000,4378.48000000,4075.58800000,,,,,
20171002 00:00:00,4400.00000000,4658.00000000,4110.00000000,4640.00000000,4101.77200000,,,,,
20171009 00:00:00,4640.00000000,5922.30000000,4550.00000000,5709.99000000,4417.69600000,,,,,
20171016 00:00:00,5710.00000000,6171.00000000,5037.95000000,5950.02000000,4867.70200000,4507.42500000,,,,
20171023 00:00:00,5975.00000000,6189.88000000,5286.98000000,6169.98000000,5369.69400000,4715.79400000,,,,
20171030 00:00:00,6133.01000000,7590.25000000,6030.00000000,7345.01000000,5963.00000000,5019.29400000,,,,
20171106 00:00:00,7345.10000000,7770.02000000,5325.01000000,5811.03000000,6197.20600000,5149.48900000,,,,
20171113 00:00:00,5839.94000000,8123.15000000,5699.99000000,8038.00000000,6662.80800000,5540.25200000,,72.66463175,,
20171120 00:00:00,8057.11000000,9350.00000000,7801.00000000,9128.02000000,7298.40800000,6083.05500000,,75.70262882,,
20171127 00:00:00,9128.00000000,11825.00000000,8520.00000000,11165.41000000,8297.49400000,6833.59400000,,79.49452221,,
20171204 00:00:00,11165.41000000,17204.99000000,10802.00000000,14899.98000000,9808.48800000,7885.74400000,,84.27760675,,
20171211 00:00:00,14946.26000000,19798.68000000,14666.56000000,18860.02000000,12418.28600000,9307.74600000,,89.30357113,,
20171218 00:00:00,18860.04000000,19300.00000000,10961.00000000,13500.00000000,13510.68600000,10086.74700000,,70.70312384,,
20171225 00:00:00,13500.00000000,16498.05000000,11750.00000000,13716.36000000,14428.35400000,10863.38100000,7685.40300000,71.08747820,,
20180101 00:00:00,13715.65000000,17176.24000000,12750.00000000,16150.03000000,15425.27800000,11861.38600000,8288.59000000,73.02769415,,
20180108 00:00:00,16218.85000000,16322.30000000,11400.00000000,13474.99000000,15140.28000000,12474.38400000,8746.83900000,65.79195634,,
20180115 00:00:00,13477.98000000,14249.99000000,9035.00000000,11530.00000000,13674.27600000,13046.28100000,9097.88500000,60.08734726,,
20180122 00:00:00,11530.00000000,12244.00000000,9900.24000000,11879.95000000,13350.26600000,13430.47600000,9485.36400000,60.23884945,,
20180129 00:00:00,11879.95000000,11975.02000000,7930.00000000,8184.81000000,12243.95600000,13336.15500000,9709.60500000,53.10612561,,
20180205 00:00:00,8179.99000000,9065.78000000,6000.01000000,8063.88000000,10626.72600000,13026.00200000,9929.79800000,51.14546097,1500.15843799,2043.65186801
20180212 00:00:00,8063.82000000,11274.00000000,8053.00000000,10383.43000000,10008.41400000,12574.34700000,10230.04550000,57.10780534,1352.30727048,1905.38294851
20180219 00:00:00,10375.01000000,11786.01000000,9274.80000000,9590.00000000,9620.41400000,11647.34500000,10477.54550000,52.52512927,1157.76499087,1755.85935698
20180226 00:00:00,9590.00000000,11565.00000000,9350.00000000,11515.00000000,9547.42400000,11448.84500000,10767.79600000,53.78092560,1145.71317646,1633.83012087
20180305 00:00:00,11515.00000000,11710.00000000,8329.00000000,9533.57000000,9817.17600000,11030.56600000,10946.97350000,47.41060967,965.15151928,1500.09440056
20180312 00:00:00,9533.57000000,9888.88000000,7322.00000000,8189.99000000,9842.39800000,10234.56200000,11047.97400000,38.47838174,705.50678481,1341.17687741
20180319 00:00:00,8189.00000000,9177.01000000,8088.40000000,8470.15000000,9459.74200000,9734.07800000,11104.23100000,29.57905599,516.39040555,1176.21958303
20180326 00:00:00,8470.14000000,8514.89000000,6430.00000000,6813.01000000,8904.34400000,9262.37900000,11154.33000000,34.61796979,230.14400692,987.00446781
20180402 00:00:00,6813.01000000,7520.00000000,6500.00000000,7018.00000000,8004.94400000,8776.18400000,11103.33000000,34.58375144,19.60664040,793.52490233
20180409 00:00:00,7011.04000000,8429.54000000,6611.00000000,8355.00000000,7769.23000000,8793.20300000,11064.67900000,31.10600810,-38.91245464,627.03743094
20180416 00:00:00,8355.07000000,9035.00000000,7825.40000000,8787.02000000,7888.63600000,8865.51700000,10945.75950000,37.25077249,-49.85416778,491.65911119
20180423 00:00:00,8785.70000000,9759.82000000,8651.62000000,9419.00000000,8078.40600000,8769.07400000,10671.71050000,43.81747041,-7.44423743,391.83844147
20180430 00:00:00,9417.04000000,10020.00000000,8800.49000000,9659.01000000,8647.60600000,8775.97500000,10211.66000000,43.45332843,45.01384747,322.47352267
20180507 00:00:00,9661.02000000,9689.67000000,8153.00000000,8679.71000000,8979.94800000,8492.44600000,9970.64550000,51.73691540,7.47971059,259.47476025
