Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8649.00000000,8511.11000000,8639.28000000,,,,,,
20200301 02:00:00,8640.23000000,8675.00000000,8616.45000000,8620.36000000,,,,,,
20200301 04:00:00,8620.17000000,8634.73000000,8538.00000000,8586.83000000,,,,,,
20200301 06:00:00,8586.50000000,8588.01000000,8520.58000000,8541.16000000,,,,,,
20200301 08:00:00,8541.15000000,8594.87000000,8518.00000000,8539.63000000,8585.45200000,,,,,
20200301 10:00:00,8540.08000000,8650.00000000,8539.64000000,8648.37000000,8587.27000000,,,,,
20200301 12:00:00,8647.42000000,8750.00000000,8535.24000000,8609.34000000,8585.06600000,,,,,
20200301 14:00:00,8609.69000000,8629.31000000,8542.45000000,8557.80000000,8579.26000000,,,,,
20200301 16:00:00,8557.80000000,8582.73000000,8454.57000000,8500.00000000,8571.02800000,,,,,
20200301 18:00:00,8499.87000000,8571.86000000,8411.00000000,8542.20000000,8571.54200000,8578.49700000,,,,
20200301 20:00:00,8541.22000000,8565.24000000,8470.00000000,8526.44000000,8547.15600000,8567.21300000,,,,
20200301 22:00:00,8526.41000000,8591.82000000,8516.00000000,8531.88000000,8531.66400000,8558.36500000,,,,
20200302 00:00:00,8530.30000000,8572.54000000,8498.00000000,8560.40000000,8532.18400000,8555.72200000,,,,
20200302 02:00:00,8560.28000000,8651.90000000,8556.82000000,8601.99000000,8552.58200000,8561.80500000,,46.19699349,,
20200302 04:00:00,8601.99000000,8663.43000000,8596.36000000,8658.00000000,8575.74200000,8573.64200000,,51.71340704,,
20200302 06:00:00,8658.01000000,8699.50000000,8602.48000000,8625.39000000,8595.53200000,8571.34400000,,50.44913120,,
20200302 08:00:00,8625.39000000,8712.66000000,8619.63000000,8697.04000000,8628.56400000,8580.11400000,,59.21349630,,
20200302 10:00:00,8697.04000000,8776.98000000,8651.00000000,8758.35000000,8668.15400000,8600.16900000,,67.69426295,,
20200302 12:00:00,8758.39000000,8854.70000000,8718.95000000,8829.41000000,8713.63800000,8633.11000000,,71.20569037,,
20200302 14:00:00,8828.96000000,8885.00000000,8773.00000000,8829.21000000,8747.88000000,8661.81100000,8620.15400000,65.73287862,,
20200302 16:00:00,8829.21000000,8917.99000000,8818.66000000,8868.33000000,8796.46800000,8696.00000000,8631.60650000,72.52831370,,
20200302 18:00:00,8868.26000000,8890.00000000,8823.00000000,8883.12000000,8833.68400000,8731.12400000,8644.74450000,80.23082928,,
20200302 20:00:00,8882.88000000,8940.22000000,8850.00000000,8935.09000000,8869.03200000,8768.59300000,8662.15750000,90.87424610,,
